record_id,created_at,source,date,calories_eaten,sleep_hours,steps,exercise_scale,mood,calories_burned,health_score
0e9aa642183a462691905e8943eea05d,2026-01-15 19:23:25.744944,raw,2025-10-30,2200.0,7.5,6500,2,4,360.0,4
e52e29ca9df0480bbdba3453b7deea0b,2026-01-15 19:23:25.744944,raw,2025-10-31,1800.0,6.0,4000,1,3,210.0,2
3311288683a642b3a229201acb5e94a6,2026-01-15 19:23:25.744944,raw,2025-11-01,2000.0,8.0,9000,3,5,510.0,3
d14100c6439f45b7b9bef330fbeb8c43,2026-01-15 19:23:25.744944,raw,2025-11-02,2500.0,7.0,12000,4,4,680.0,2
08e7cb6f1db948769cc77bc2693f0bde,2026-01-15 19:23:25.744944,raw,2025-11-03,2100.0,5.5,3000,0,2,120.0,0
dabd21848d5e49a199091e4849041fe2,2026-01-15 19:23:25.744944,raw,2025-11-04,1900.0,7.0,8000,2,4,420.0,3
99d7aa500153440790364e9799832b4a,2026-01-15 19:23:25.744944,raw,2025-11-06,2300.0,9.0,15000,5,5,850.0,0
acbb4479609e494b9efac7230c42468a,2026-01-15 19:23:25.744944,raw,2025-11-07,1700.0,6.5,5000,1,3,250.0,3
fa2690f85866421cb0ecf78d0e03f1b7,2026-01-15 19:23:25.744944,raw,2025-11-08,1600.0,4.0,2000,0,1,80.0,1
f345f0a335b54b09903f40b1e0b9a112,2026-01-15 19:23:25.744944,raw,2025-11-09,2100.0,7.0,6000,2,4,340.0,4
2f8431602634455da3e90c7dc196416c,2026-01-15 19:23:25.744944,raw,2025-11-10,2000.0,8.5,11000,3,5,590.0,1
9dcaed590c38423d8b03e724d3489799,2026-01-15 19:23:25.744944,raw,2025-11-11,2400.0,6.0,9000,3,4,510.0,3
615b569d4abb4b5cbc55de7cb572a0c0,2026-01-15 19:23:25.744944,raw,2025-11-12,2000.0,7.5,7500,2,4,400.0,4
1213c9217ac9412a80168820e7b2b2d9,2026-01-15 19:23:25.744944,raw,2025-11-13,1900.0,8.0,10000,3,5,550.0,3
0eb1a76968924d74a88b6a96fa5d29c7,2026-01-15 19:23:25.744944,raw,2025-11-14,3000.0,5.0,4000,1,2,210.0,1
0dc2755e8396461098040b56afdac93b,2026-01-15 19:23:25.744944,raw,2025-11-15,1800.0,7.0,6500,2,4,360.0,3
1532a056c4f14355b7fbaf7847fad148,2026-01-15 19:23:25.744944,raw,2025-11-16,2000.0,6.5,5000,1,3,250.0,4
3edd9577b6c94f8ab454d906e8431c43,2026-01-15 19:23:25.744944,raw,2025-11-18,2000.0,6.0,3000,0,2,120.0,1
7189634aa22e4393bc150a5e7199bc00,2026-01-15 19:23:25.744944,raw,2025-11-19,2300.0,9.0,14000,4,5,760.0,1
2ba24bbd5ac4422696167fc046c16cfa,2026-01-15 19:23:25.744944,raw,2025-11-20,1700.0,7.5,6000,2,4,340.0,3
6f7e100753d44b1ba78298e5ea19913b,2026-01-15 19:23:25.744944,raw,2025-11-21,1900.0,7.0,8000,2,4,420.0,3
7c691c75548241e8bc634380052fdbf6,2026-01-15 19:23:25.744944,raw,2025-11-22,2500.0,5.0,2000,0,1,80.0,0
68937674399244f3aaa788241729faac,2026-01-15 19:23:25.744944,raw,2025-11-23,2100.0,7.0,7000,2,4,380.0,4
80138f4d3cce4270bafb71a89fe9c752,2026-01-15 19:23:25.744944,raw,2025-11-24,1800.0,6.5,4500,1,3,230.0,3
2e4add15864d41ffb4ec930aaff30ce8,2026-01-15 19:23:25.744944,raw,2025-11-25,2000.0,8.0,10000,3,5,550.0,3
4d977aa79d074d5fa2730666ff82fa21,2026-01-15 19:23:25.744944,raw,2025-11-26,2600.0,4.5,3000,0,2,120.0,0
3cb86e89cc2c498dbdb6da02ab2cbf53,2026-01-15 19:23:25.744944,raw,2025-11-27,2000.0,7.0,6500,2,4,360.0,4
ecdde0d1925847e2adf633806ca340c3,2026-01-15 19:23:25.744944,raw,2025-11-28,2200.0,8.0,9000,3,5,510.0,4
7b5afcb1132b458e8fc728d34fce18da,2026-01-15 19:23:25.744944,raw,2025-11-29,2100.0,7.0,7500,2,4,400.0,4
890b742336f74cfa907395a4de406fdb,2026-01-15 19:23:25.744944,raw,2025-11-30,1900.0,6.0,4000,1,3,210.0,2
bb9f05b4e24c42b6bc35df380cc74cb1,2026-01-15 19:23:25.744944,raw,2025-12-02,2300.0,9.0,15000,5,5,850.0,0
f36a617dfe36441fb6e3bbb066967613,2026-01-15 19:23:25.744944,raw,2025-12-03,1700.0,5.0,2000,0,1,80.0,1
e62d8b1d77984e7fb8ac12b2bb8fdd4e,2026-01-15 19:23:25.744944,raw,2025-12-04,2000.0,7.0,7000,2,4,380.0,4
d4a7f9216e80426f92863b7fb2bc82fc,2026-01-15 19:23:25.744944,raw,2025-12-05,2000.0,6.5,5000,1,3,250.0,4
47f0371a6fc14dd3bf05eeb3801f2cc5,2026-01-15 19:23:25.744944,raw,2025-12-06,2400.0,8.0,11000,3,5,590.0,3
dec44d67792e45808ea05c1098d54abf,2026-01-15 19:23:25.744944,raw,2025-12-07,2600.0,4.0,3000,0,2,120.0,0
66644936389a4cae853e48acff0da707,2026-01-15 19:23:25.744944,raw,2025-12-08,1900.0,7.0,6500,2,4,360.0,4
97db84675c4b4a8aa8d850147a425196,2026-01-15 19:23:25.744944,raw,2025-12-09,2100.0,8.5,10000,3,5,550.0,3
351655ba2759416297c5fe6e38a27e3b,2026-01-15 19:23:25.744944,raw,2025-12-10,1800.0,6.0,4500,1,3,230.0,2
53708c4ad9e247d180d6c1457545c277,2026-01-15 19:23:25.744944,raw,2025-12-11,2000.0,7.0,7000,2,4,380.0,4
5e0cc5efa07d457fa421e5fc73c20f9f,2026-01-15 19:23:25.744944,raw,2025-12-12,2300.0,9.0,14000,4,5,760.0,1
644ae2c387c6434ba12057d896becaec,2026-01-15 19:23:25.744944,raw,2025-12-13,1700.0,5.0,2000,0,1,80.0,1
44371665cf9c427383e2b9ba95ad2ffb,2026-01-15 19:23:25.744944,raw,2025-12-14,2200.0,8.0,9000,3,5,510.0,4
d8b4e7a1c1934583a4eed7a875c9d7a1,2026-01-15 19:23:25.744944,raw,2025-12-15,1900.0,7.0,6000,2,4,340.0,4
4f5275ef71c2464798f9d1f74b69a854,2026-01-15 19:23:25.744944,raw,2025-12-16,2100.0,7.0,7500,2,4,400.0,4
645a8052f2d44d6b80cddc123895c43d,2026-01-15 19:23:25.744944,raw,2025-12-17,2000.0,6.5,5000,1,3,250.0,4
3c9ef02c800b4bb3a1bc9f315fd0eeaf,2026-01-15 19:23:25.744944,raw,2025-12-18,2300.0,8.0,10000,3,5,550.0,4
ba6610e216b648d6b8ae6f70ba49f77f,2026-01-15 19:24:03.411454,user,2026-01-15,1760.0,7.0,6790,2,4,371.6,3
6278933c888d4bc88512a2efb5c0c388,2026-01-17 17:51:36.701629,user,2026-01-17,700.0,6.0,2000,2,2,180.0,1
124800a1648a422a9ddcbbe0b0e49511,2026-01-20T20:58:10,user,2026-01-20,1600.0,7.0,1233,2,3,149.32,2
00e3bc69da334032b7eec772853be64e,2026-01-20T20:59:01,user,2026-01-19,1700.0,8.0,1000,3,2,190.0,3
